geohash6,rmse(t+1),rmse(t+2),rmse(t+3),rmse(t+4),rmse(t+5),smape(t+1),smape(t+2),smape(t+3),smape(t+4),smape(t+5)
qp03yd,0.018843531801560502,0.023127034889066138,0.025835097794155364,0.02744260729557508,0.029132699770241827,25.568313038178644,30.802040237747217,33.38119791471358,35.55999740606588,37.79993262101912
qp094q,0.0424617551623927,0.05539593310783474,0.060974693564541126,0.06778004435969381,0.07459852574484115,33.00438527055108,39.213392146140436,43.105823835732004,45.815819879373564,49.49563498787013
qp08bq,0.022820093236712573,0.0255015718155716,0.025691893751783094,0.026290773726370394,0.02713312154369112,70.93176091853735,75.47119096847585,78.66877874246984,78.22612991385978,81.73353952730488
qp02ze,0.02915400161786715,0.03063891721176342,0.032093579581844466,0.03413895234429728,0.03576168067820119,47.948908122613204,51.3276015047118,54.4089631357355,55.327415459775004,59.45883939932135
qp0901,0.028241138670617214,0.03017716430213965,0.030753357900322017,0.03261861423785842,0.034279611565565825,59.178378026055995,63.02700769365272,65.2796683199109,68.71127247078869,71.45295645447254
qp03wz,0.035239585899125604,0.04962130471755388,0.058277283615478855,0.06668784415838445,0.07954692291963524,7.522293985146598,10.409996493203055,11.984827520813225,13.312717957662452,15.665669950833822
qp03p3,0.031547777820680786,0.034976547912965596,0.036107767507779616,0.03602356504518348,0.039072292594777555,50.17421824034757,56.19021359915651,56.81390599894887,59.280594717419014,62.957724750388934
qp09cm,0.014775338025858347,0.01723379589981648,0.017756275297609963,0.017884671607033203,0.019237814718367,68.27807787874714,76.90978935165528,79.43748717255792,80.05770778079993,87.03882346785777
qp09tn,0.016271511660194173,0.019569639786798366,0.02167296464856283,0.02419853798815243,0.025269059379353923,51.952913620365564,59.086804468702695,61.98053466765564,67.67889084125534,69.71318256162584
qp03zd,0.01567335446137073,0.02006262219692481,0.023303092515342596,0.026717410470866673,0.029982566001319887,42.752094684549014,50.917068482835184,54.13718640787122,58.23486193079179,63.86552999524291
qp03z4,0.017743034064466662,0.021717131377914103,0.02369366906393739,0.024543403807603417,0.02635527273111253,33.13858355696211,39.447631206578855,40.835758031701204,42.89874640323124,44.44043145095278
qp03ym,0.005761700705235579,0.006858563604809434,0.0074354929867913935,0.00783692495561568,0.008088372297535892,78.76496741284078,88.95075087038585,93.22976594737499,96.98915442960741,95.27144907062225
qp09g3,0.01328214336459504,0.0154809541729397,0.015948868904894872,0.017162194716749596,0.017801810193131144,60.53718369280659,67.62696177981256,67.46247436881627,73.21111949876719,76.07169535277768
qp09d3,0.04710700758750313,0.06416382253674903,0.08093068890391038,0.09660809337412472,0.1128440406394129,11.372726650718718,15.246122130326889,18.581163912724893,21.635486741890716,25.193773289019322
qp03td,0.007463849561347004,0.009025900205860459,0.009470247563993355,0.01019886718675145,0.010657164388774103,76.82820503206135,88.30377578370984,90.90684390423816,97.11201505314183,99.97875567946045
qp091y,0.023146339740925448,0.02598658781096733,0.027532530884293926,0.0297579903598283,0.03175400337509491,50.131643000984326,55.787035081555786,59.75572349968826,63.084496311756666,67.6230096110385
qp09t9,0.005853597061224047,0.007107196675659911,0.007749985720854303,0.007764259074226755,0.007678830665941238,60.183963524610505,71.21307502702548,73.70117519264801,73.80820041478664,73.41617517651596
qp097f,0.01714768746303099,0.019868902474554063,0.02107423808736508,0.022392061637876937,0.0236242205710009,46.26361274293566,52.86681608948939,55.224187375755086,60.05458624399322,63.26708447737972
qp09fz,0.027639670951399638,0.033053388002639045,0.03492107508571359,0.03757346744259697,0.040185963094532304,43.69503974714959,50.41712493941574,51.28060160862678,56.63273728824835,59.75867151702313
qp09ht,0.021780923129415434,0.025543258025848833,0.02743667442316598,0.028290745256865583,0.028901227218016214,50.55861653049829,59.48694648139135,60.73140874579757,63.443652402992605,64.97446526450906
qp03jz,0.009070989453141234,0.010580958948934106,0.011165580550765136,0.011524668568881643,0.011963523916004047,64.37551165780728,69.15824885884193,73.7084786074615,75.83181640422872,78.73075943027062
qp09dg,0.030020196753285686,0.035663576519210725,0.04043157040896493,0.04459087238430343,0.048722847475878545,41.854434934863725,47.96587877684456,52.20156802304225,57.94433252681825,62.98654850836905
qp03wn,0.013739466184195363,0.01618431839331516,0.01790782203335971,0.019552076113784584,0.020709034876933406,41.61252983983039,47.83563798393405,52.10342649917901,56.6728869473272,60.622643770666514
qp03tg,0.007862992473746581,0.009417344828212916,0.00989406796997494,0.010612924240261808,0.010793213391071454,61.04323499523229,68.07317883455161,70.366593084562,73.91382405455107,76.67900264131795
qp093u,0.018867404647043676,0.021671967106438154,0.023841581458225295,0.025230907173394726,0.026192939287002646,53.43258660844199,60.68480936739086,64.5222376094233,68.08058955297757,71.46389080914682
qp098j,0.04104976176215079,0.05942072295619838,0.07610165480134072,0.09053962635198366,0.10386489608706274,10.047975398907294,14.108416097532748,18.162014443807248,21.690388261764976,24.98187330593338
qp03x6,0.018768693075894585,0.022597452733144438,0.025812479995084226,0.02823358759011024,0.03094524635186878,30.85777125980451,35.04799072685119,38.970525053832915,42.65604671576847,45.739268376494486
qp09bn,0.015044205971229454,0.016998805884962807,0.018237951915922097,0.019454171171103925,0.020099577223566003,49.72588158437729,52.90412970353431,57.824739902567615,57.988843044099596,60.90150041193415
qp09uj,0.008924785004657045,0.010045081293975137,0.011191609992725155,0.011263925588385596,0.01214528587520111,65.78192403838398,73.33825380777215,76.24883289941128,77.54932939567125,83.38804236364416
qp09tr,0.03241000712466072,0.03905702342043844,0.044170498115642144,0.04806011020817432,0.053471763448140225,37.989379209127016,46.52845213925858,50.987049367048364,54.963904984976566,57.33934224185706
qp0981,0.019204562652127808,0.023555783053838954,0.027107823989967958,0.02958864149532248,0.03227038026787561,27.734083129548555,33.52308275325937,38.15121697713071,41.089079655846426,43.23090427056057
